row,year,unc_status,comp_major,primary_major,data_science,prereqs,prior_exp,ap_principles,ap_a,other_comp,prior_time,languages,hours_online_social,hours_online_work,lesson_time,sync_perf,all_sync,flipped_class,no_hybrid,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,pace,difficulty,understanding,interesting,valuable,would_recommend
11,24,Returning UNC Student,Yes - BA,Psychology,Maybe,MATH 130,2-6 months,No,No,High school course (IB or other),1 month or so,"Python, JavaScript / TypeScript",3 to 5 hours,3 to 5 hours,2,2,2,3,1,6,4,0,6,4,5,5,5,,6,4,5,6,6,6
12,23,Returning UNC Student,No,Neuroscience,No,"MATH 231, MATH 232, MATH 233, PSYC 210, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,3,5,3,4,1,6,4,1,4,3,6,5,,,5,5,4,4,5,4
13,24,Returning UNC Student,No,Environmental Science/Studies,No,"MATH 129P, STOR 113, STOR 155",2-6 months,No,Yes,Only AP Comp Sci A,None to less than one month!,"Python, Java / C#",5 to 10 hours,3 to 5 hours,2,2,2,4,3,7,2,0,7,7,7,5,,,4,3,7,7,7,7
14,24,Returning UNC Student,No,Economics,No,"MATH 210, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,2,6,5,3,5,7,3,2,6,5,7,7,6,,4,4,5,6,6,7
15,24,Returning UNC Student,No,Media and Journalism,No,STOR 120,2-6 months,No,No,UNC,None to less than one month!,"Python, HTML / CSS",3 to 5 hours,5 to 10 hours,2,2,1,6,1,7,1,4,6,6,6,5,6,7,5,7,3,7,7,6
16,23,Incoming Transfer Student,No,Psychology,No,"MATH 130, PSYC 210, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,1,4,2,1,1,7,1,5,7,7,7,7,7,,6,7,2,5,5,5
17,23,Returning UNC Student,No,Mathematics,No,"MATH 130, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 155",1-2 years,No,No,,1-2 years,"Python, Java / C#, C / C++, JavaScript / TypeScript, R / Matlab / SAS, SQL",0 to 2 hours,3 to 5 hours,7,1,1,1,1,3,7,0,4,4,4,4,4,4,4,4,6,7,7,7
18,25,Incoming First-year Student,No,Environmental Science/Studies,No,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,5,5,6,3,7,4,3,6,6,6,6,6,6,5,7,3,6,6,5
19,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,2,1,1,1,1,7,7,0,7,6,7,7,,,4,2,6,7,7,7
20,22,Returning UNC Student,No,Exercise and Sports Science,No,STOR 113,None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,6,1,1,1,1,5,5,3,5,3,7,6,7,7,6,4,5,6,6,7
21,23,Returning UNC Student,No,Biology,No,"MATH 130, STOR 155",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,2,3,2,2,1,7,4,2,6,6,7,6,5,,5,5,5,6,7,7
22,24,Returning UNC Student,No,Psychology,No,"MATH 129P, MATH 231, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,Java / C#,3 to 5 hours,3 to 5 hours,5,1,1,1,1,6,7,1,7,7,7,6,4,,5,5,5,5,4,6
23,23,Returning UNC Student,No,Psychology,No,"MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,2,3,4,3,2,7,4,2,7,7,6,7,7,5,5,6,5,6,7,6
24,23,Returning UNC Student,No,Environmental Science/Studies,Yes,"MATH 231, MATH 232",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,7,7,4,7,6,7,7,3,1,1,5,1,7,7,7,7,4,7,7,6
25,25,first year-student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232, MATH 233, MATH 381",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,7,1,1,1,1,7,5,2,7,7,6,6,3,5,4,5,4,6,7,7
26,25,Incoming First-year Student,No,Undecided,No,STOR 155,None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,6,4,1,1,1,4,3,3,7,7,7,4,5,7,5,4,3,6,5,6
27,24,Returning UNC Student,No,Environmental Science/Studies,No,"MATH 231, MATH 232",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,2,2,2,2,2,7,6,1,6,5,6,6,7,6,6,4,6,6,6,6
28,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,MATH 232,7-12 months,Yes,No,High school course (IB or other),None to less than one month!,"Python, JavaScript / TypeScript, HTML / CSS",3 to 5 hours,3 to 5 hours,4,1,1,1,4,7,4,0,7,3,7,4,6,6,4,3,6,7,7,7
29,24,Returning UNC Student,No,Environmental Science/Studies,No,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,5,5,5,3,2,6,3,4,5,6,6,6,7,7,5,5,5,5,6,5
30,24,Returning UNC Student,No,Asian Studies,Yes,MATH 231,None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,5,2,2,2,3,7,6,1,6,5,6,3,,,6,6,5,6,7,6
31,23,Incoming Transfer Student,No,Economics,Yes,STOR 155,None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,6,5,5,5
32,24,Returning UNC Student,No,Psychology,No,"MATH 152, MATH 231, PSYC 210",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,6,3,4,2,2,5,5,4,6,5,2,5,5,4,6,6,3,6,4,3
33,25,Incoming First-year Student,No,Information Science,Maybe,"MATH 129P, MATH 152, MATH 231, STOR 155",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,1,1,1,1,1,7,7,0,7,7,7,7,,,5,4,5,7,7,7
34,23,junior/senior,Yes - Minor,Chemistry,Yes,"MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, MATH 381, PSYC 210, PSYC 215",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,4,4,2,2,5,5,0,7,3,7,4,4,5,5,4,4,7,7,5
35,23,Incoming Transfer Student,No,Communication,No,"MATH 129P, MATH 130, MATH 231, MATH 232",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,7,4,4,4,4,6,6,0,6,6,6,6,4,4,5,4,5,5,6,6
36,25,Incoming First-year Student,Yes - BA,Computer Science,Maybe,"MATH 231, MATH 232, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, JavaScript / TypeScript, HTML / CSS",0 to 2 hours,3 to 5 hours,5,7,7,6,1,5,2,0,6,5,7,7,,,6,6,2,7,7,7
37,25,Incoming First-year Student,Yes - BA,Political Science,No,"MATH 130, STOR 155",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,1,1,1,1,1,4,3,3,6,4,6,3,7,7,5,5,5,7,6,7
38,25,Returning UNC Student,Yes - BA,Computer Science,No,"MATH 129P, MATH 231",2-6 months,No,Yes,UNC,2-6 months,"Python, Java / C#, C / C++, JavaScript / TypeScript",5 to 10 hours,3 to 5 hours,2,7,5,6,1,5,7,0,7,7,7,6,7,7,4,3,7,7,7,7
39,25,Incoming First-year Student,Yes - BS,Computer Science,No,MATH 231,None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,6,3,3,1,1,5,2,2,5,5,5,6,7,,5,5,5,7,7,7
40,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,MATH 231,2-6 months,No,Yes,none,None to less than one month!,Python,3 to 5 hours,3 to 5 hours,5,1,1,4,2,6,5,0,7,5,6,6,,,4,3,6,7,7,7
41,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232",None to less than one month!,,,,,,10+ hours,3 to 5 hours,1,1,1,3,1,5,6,1,7,7,7,7,7,4,4,5,6,7,7,7
42,22,Returning UNC Student,No,Exercise and Sports Science,No,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,10+ hours,5 to 10 hours,1,2,2,1,1,7,5,0,7,7,7,7,,,4,5,7,7,5,7
43,23,Returning UNC Student,No,Psychology,No,"MATH 130, MATH 231, PSYC 210",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,2,3,2,3,3,7,4,3,6,6,5,5,7,,5,7,3,4,6,6
44,24,Returning UNC Student,No,Information Science,Yes,"MATH 129P, MATH 231",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,3,3,5,1,6,5,1,5,4,5,3,6,,6,5,3,5,6,4
45,24,Returning UNC Student,No,Neuroscience,No,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,6,6,5,5,6,5,0,6,5,7,6,6,5,4,3,6,7,6,7
46,25,Returning UNC Student,Yes - BS,Computer Science,Maybe,MATH 130,2-6 months,Yes,No,High school course (IB or other),None to less than one month!,"Python, JavaScript / TypeScript",10+ hours,3 to 5 hours,2,1,1,1,2,1,6,0,6,7,7,6,,,4,4,6,7,7,7
47,25,Returning UNC Student,Yes - BA,Computer Science,Maybe,"MATH 129P, MATH 231",7-12 months,Yes,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#",3 to 5 hours,3 to 5 hours,7,4,3,2,4,6,4,0,5,5,5,5,5,5,5,4,5,6,6,5
48,25,Returning UNC Student,No,Statistics and Analytics,No,STOR 155,None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,3,2,1,2,1,7,5,2,3,4,6,3,6,4,6,6,4,7,7,2
49,25,Incoming First-year Student,Yes - BA,Business,Yes,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, STOR 155",1-2 years,Yes,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#, JavaScript / TypeScript, R / Matlab / SAS",5 to 10 hours,5 to 10 hours,3,2,2,2,2,6,6,1,6,4,6,6,4,4,4,3,5,5,6,7
50,24,Returning UNC Student,No,Media and Journalism,No,"MATH 129P, MATH 231, MATH 232, STOR 151",7-12 months,No,Yes,AP Comp Sci A,1 month or so,"Python, Java / C#, HTML / CSS",5 to 10 hours,5 to 10 hours,3,4,2,2,2,5,3,1,7,7,7,7,5,,4,4,4,5,6,6
51,22,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231, STOR 151",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,6,1,1,1,1,7,6,1,7,4,7,6,,7,6,4,6,7,7,7
52,25,Incoming First-year Student,Yes - Minor,Mathematics,Maybe,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,7,4,3,2,3,7,5,1,6,6,6,6,6,,5,5,6,6,7,7
53,23,Returning UNC Student,Yes - BA,Computer Science,Yes,"MATH 231, MATH 232, STOR 120, STOR 155",Over 2 years,No,No,UNC,7-12 months,"Python, Java / C#, C / C++, JavaScript / TypeScript, LISP / Scheme / Racket, R / Matlab / SAS, HTML / CSS, SQL, Bash",5 to 10 hours,3 to 5 hours,1,1,1,1,1,1,7,0,4,7,7,1,4,4,7,1,7,1,7,1
54,24,I am a first year college student that took dual enrollment in high school.,Yes - BS,Computer Science,No,"MATH 130, MATH 231",2-6 months,No,No,I did not.,1 month or so,"Python, Java / C#, HTML / CSS",3 to 5 hours,3 to 5 hours,1,4,3,3,1,5,7,0,7,6,7,3,4,4,4,1,7,7,6,6
55,23,Returning UNC Student,No,Environmental Science/Studies,No,"MATH 210, MATH 231, MATH 232, STOR 151",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,7,1,1,1,2,6,5,2,7,5,5,4,7,,7,5,5,4,5,4
56,24,Returning UNC Student,No,Business,No,"STOR 113, STOR 155",None to less than one month!,,,,,,3 to 5 hours,0 to 2 hours,1,1,1,1,3,6,3,3,6,6,6,6,6,4,5,6,5,7,4,6
57,23,Returning UNC Student,No,Statistics and Analytics,No,"MATH 231, MATH 232, STOR 155",2-6 months,No,No,UNC,None to less than one month!,"Python, R / Matlab / SAS",5 to 10 hours,3 to 5 hours,2,4,4,1,1,7,5,0,6,5,6,5,,,4,4,4,6,6,5
58,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 231, MATH 232, MATH 381, STOR 155",7-12 months,No,Yes,High school course (IB or other),1 month or so,"Python, Java / C#, HTML / CSS",3 to 5 hours,3 to 5 hours,2,4,2,6,1,2,5,0,6,5,6,5,,,4,4,6,6,6,6
59,23,Returning UNC Student,No,Neuroscience,No,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,10+ hours,7,2,1,2,2,7,7,5,7,7,7,7,7,7,7,5,5,7,7,7
60,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 130, MATH 231, MATH 232, MATH 233, STOR 120",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, Java / C#, C / C++, JavaScript / TypeScript, Go, HTML / CSS",3 to 5 hours,3 to 5 hours,1,3,3,1,1,3,3,1,7,2,6,6,7,,4,2,6,4,7,7
61,23,Returning UNC Student,No,Statistics and Analytics,No,"MATH 129P, MATH 231, MATH 232",Over 2 years,No,No,High school course (IB or other),> 2 years,"Python, Scratch",5 to 10 hours,0 to 2 hours,4,1,1,1,1,6,5,0,6,6,7,4,,,6,4,6,6,7,6
62,23,Returning UNC Student,No,Economics,Yes,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 120, STOR 155",2-6 months,Yes,No,no,2-6 months,"Python, R / Matlab / SAS",0 to 2 hours,5 to 10 hours,5,1,1,3,1,5,5,2,7,5,7,7,7,,5,5,5,7,7,6
63,23,Returning UNC Student,No,Asian Studies,No,"MATH 129P, MATH 231, MATH 232, PSYC 210, STOR 155",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,3,3,1,3,1,7,2,1,7,5,7,7,4,,5,5,4,6,5,7
64,25,Returning UNC Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232",7-12 months,Yes,No,High school course (IB or other),1-2 years,"Python, BASIC, SQL",10+ hours,10+ hours,4,1,1,7,1,7,7,0,7,7,7,7,,,5,2,6,7,7,7
65,25,Incoming First-year Student,Yes - BA,Communication,Maybe,STOR 120,None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,4,4,4,4,4,4,4,1,4,4,7,5,6,5,4,5,5,4,5,5
66,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 231, MATH 232",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,2,5,5,4,2,7,6,0,6,5,7,7,,,4,3,7,7,7,7
67,23,Returning UNC Student,No,Neuroscience,No,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,1,2,2,1,1,7,5,2,7,7,7,7,6,,5,6,5,7,7,7
68,25,Incoming First-year Student,No,Biology,Maybe,"MATH 129P, MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,2,7,1,4,7,7,0,7,7,7,7,,,5,4,6,5,7,6
69,24,Returning UNC Student,Yes - Minor,Advertising and PR,No,"PHIL 155, STOR 113, STOR 155",2-6 months,No,No,UNC,2-6 months,HTML / CSS,3 to 5 hours,5 to 10 hours,3,5,3,1,2,6,4,3,6,5,6,4,6,5,5,6,5,6,6,6
70,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,MATH 130,2-6 months,No,No,Another college or community college,1 month or so,Python,3 to 5 hours,3 to 5 hours,7,1,1,1,1,7,7,1,7,7,7,7,7,7,7,5,5,7,7,7
71,25,Returning UNC Student,No,Biology,Maybe,"MATH 231, MATH 232, STOR 120",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,6,4,4,5,3,5,4,4,5,6,5,5,5,5,6,7,2,4,5,5
72,25,Returning UNC Student,Yes - BA,Business,No,"MATH 231, MATH 232",1-2 years,Yes,Yes,High school course (IB or other),7-12 months,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS",3 to 5 hours,3 to 5 hours,2,1,1,1,1,3,5,1,5,5,6,5,4,4,3,3,6,6,6,6
73,25,Incoming First-year Student,Yes - BS,Computer Science,Yes,MATH 130,None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,3,4,6,4,2,7,2,2,2,3,7,7,3,,5,5,5,7,7,7
74,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232, MATH 233, STOR 155",7-12 months,Yes,No,High school course (IB or other),None to less than one month!,"Python, Java / C#, R / Matlab / SAS, HTML / CSS",5 to 10 hours,5 to 10 hours,1,3,2,2,1,6,3,0,7,5,7,5,,,4,3,5,6,7,7
75,25,Returning UNC Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232, MATH 233",7-12 months,No,No,High school course (IB or other),2-6 months,"Python, Java / C#, C / C++, HTML / CSS, Lua, D",3 to 5 hours,5 to 10 hours,6,1,2,3,1,6,6,0,6,6,7,6,,,5,2,7,6,7,5
76,22,Returning UNC Student,No,Biology,No,"MATH 231, MATH 232",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,3,1,1,1,1,7,4,3,6,6,6,6,7,7,5,5,4,6,7,7
77,24,Returning UNC Student,No,Neuroscience,Maybe,"MATH 231, MATH 232, STOR 155",7-12 months,Yes,No,UNC,None to less than one month!,"Python, Java / C#, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,3,7,5,1,1,7,5,0,7,6,7,5,7,,7,3,6,7,7,7
78,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,MATH 130,None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,1,3,2,2,2,3,4,3,7,6,6,6,7,,5,6,4,5,6,6
79,22,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,0 to 2 hours,10+ hours,5,1,1,1,1,6,7,4,6,6,4,1,7,6,7,7,3,4,4,1
80,25,Incoming First-year Student,No,Psychology,No,"MATH 130, MATH 152, MATH 210, MATH 231",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,3,2,2,1,6,5,3,5,7,5,4,3,3,,6,6,3,6,5,5
81,22,Returning UNC Student,No,Neuroscience,No,"MATH 130, MATH 231, MATH 232, PHIL 155, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,2,2,1,1,1,6,4,2,6,6,6,6,,6,4,5,4,6,7,7
82,25,Incoming First-year Student,Yes - BS,Neuroscience,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, STOR 151",2-6 months,Yes,No,High school course (IB or other),None to less than one month!,"Python, Java / C#, HTML / CSS",0 to 2 hours,5 to 10 hours,4,2,1,3,1,6,5,0,5,6,6,6,,,5,5,5,5,5,6
83,24,Returning UNC Student,No,Biology,No,MATH 231,None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,7,1,1,1,1,6,6,3,6,5,7,4,7,7,6,5,6,7,7,6
84,23,Junior,No,Neuroscience,No,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,4,1,1,1,1,5,5,1,7,7,7,5,,,5,3,5,5,5,5
85,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 155",1-2 years,Yes,Yes,UNC,2-6 months,"Python, Java / C#, C / C++, JavaScript / TypeScript",5 to 10 hours,3 to 5 hours,4,3,2,4,1,7,6,1,7,6,7,7,6,,5,4,6,7,7,7
86,24,Returning UNC Student,No,Business,No,"MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,1,3,2,4,2,5,5,0,6,5,6,5,4,4,6,5,5,5,5,5
87,25,Incoming First-year Student,Yes - BS,Computer Science,No,MATH 130,None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,7,1,1,3,1,7,6,1,7,6,7,7,4,4,6,4,7,7,7,7
88,23,Returning UNC Student,No,English,No,MATH 231,None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,1,1,1,1,5,7,6,0,6,5,7,5,,,5,5,5,6,6,6
89,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 231, MATH 232, STOR 155",2-6 months,No,No,High school course (IB or other),1 month or so,Python,5 to 10 hours,5 to 10 hours,3,2,2,2,2,6,6,0,6,5,7,5,,,6,4,6,7,7,7
90,25,Incoming First-year Student,Yes - Minor,Economics,Maybe,MATH 130,None to less than one month!,,,,,,10+ hours,5 to 10 hours,2,7,7,2,5,7,2,4,2,3,4,2,6,4,6,6,3,5,6,4
91,24,Returning UNC Student,Yes - BA,Computer Science,Maybe,"MATH 130, MATH 152, MATH 210, PSYC 210",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,5,7,7,7,1,3,3,4,5,4,3,3,7,5,7,7,2,4,6,5
92,23,Returning UNC Student,No,Biology,No,"MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,7,2,2,3,1,7,2,4,4,4,3,4,7,,4,7,4,5,5,3
93,24,Returning UNC Student,No,Psychology,No,"MATH 130, MATH 152, MATH 210, MATH 231, PSYC 210, PSYC 215, STOR 112, STOR 113, STOR 120, STOR 151, STOR 155",None to less than one month!,,,,,,0 to 2 hours,10+ hours,5,7,7,7,3,7,4,5,2,4,1,1,1,1,7,7,1,1,2,2
94,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232, MATH 233, MATH 347",2-6 months,Yes,No,,1 month or so,"Python, HTML / CSS",5 to 10 hours,5 to 10 hours,6,7,7,7,1,5,7,1,5,5,7,6,4,,7,5,6,7,7,7
95,25,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232",7-12 months,Yes,No,High school course (IB or other),None to less than one month!,"Python, JavaScript / TypeScript, R / Matlab / SAS",3 to 5 hours,5 to 10 hours,4,3,2,5,3,4,6,1,7,6,7,7,6,,6,4,5,7,7,7
96,25,Incoming First-year Student,No,Radiology,No,"MATH 130, STOR 155",None to less than one month!,,,,,,3 to 5 hours,10+ hours,6,4,4,1,2,7,1,0,7,5,7,7,,,5,3,5,7,1,7
97,24,Returning UNC Student,No,Business,No,"MATH 232, STOR 113, STOR 155",2-6 months,Yes,No,High school course (IB or other),None to less than one month!,Python,0 to 2 hours,3 to 5 hours,5,1,2,1,1,7,5,1,5,5,7,5,7,,6,6,4,5,5,6
98,23,Incoming Transfer Student,Yes - BS,Computer Science,Maybe,MATH 130,None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,3,3,4,3,1,7,3,1,7,7,7,7,7,,6,5,6,7,7,7
99,24,Returning UNC Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, PSYC 210, PSYC 215, STOR 112, STOR 113, STOR 120, STOR 151, STOR 155",2-6 months,Yes,No,High school course (IB or other),2-6 months,Python,3 to 5 hours,5 to 10 hours,2,4,4,4,2,2,4,2,5,5,7,7,4,4,4,4,3,3,6,7
100,25,Returning UNC Student,No,Biology,No,"MATH 231, MATH 232, MATH 233, MATH 381",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,6,6,7,6,6,6,2,7,7,7,7,6,7,5,4,5,7,7,7
101,24,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 381",7-12 months,No,No,On-line course,7-12 months,"Python, Java / C#, C / C++, JavaScript / TypeScript, HTML / CSS, SQL, Bash",0 to 2 hours,5 to 10 hours,4,3,2,2,2,6,7,1,5,4,6,6,5,,5,4,5,6,6,6
102,24,Returning UNC Student,No,Linguistics,Yes,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, STOR 155",2-6 months,Yes,No,,None to less than one month!,"Python, R / Matlab / SAS",0 to 2 hours,5 to 10 hours,1,7,7,7,7,5,5,5,3,3,5,4,,,5,7,3,7,7,3
103,22,Returning UNC Student,No,Business,No,"MATH 231, STOR 155",7-12 months,No,No,Engineering courses in high school,1 month or so,"Python, SQL, Robotc",3 to 5 hours,3 to 5 hours,1,3,3,1,2,6,4,1,5,4,6,7,7,5,5,4,6,7,7,7
